,Name,Address,Age,Type,Area1,Area2,Rooms,FloorNum,Tags,Price
98,三普名人巷好屋三普雅舍,台北市大安區敦化南路一段,33.5年,華廈,建坪 26.32,主+陽 17.67,1房1廳1衛,8樓/10樓,"['有裝潢', '警衛管理', '具垃圾處理']","2,950"
99,富錦低總採光美寓,台北市松山區富錦街,49.7年,公寓,建坪 20.72,主+陽 20.72,2房2廳1衛,4樓/4樓,"['有裝潢', '有陽台', '廁所開窗']","1,780"
100,承德美小品,台北市士林區承德路四段,50.2年,公寓,建坪 10.77,主+陽 10.21,3房1廳0衛,2樓/5樓,"['有裝潢', '有景觀', '近公園']",598
101,御品邊間曇花一現,台北市北投區光明路,3.4年,大樓,建坪 43.93,主+陽 22.09,2房2廳2衛,9樓/24樓,"['有景觀', '警衛管理', '近公園']","2,988"
102,東區捷運獨戶美廈,台北市大安區延吉街,39.0年,華廈/辦公,建坪 48.75,主+陽 43.61,4房2廳2衛2室,4樓/7樓,"['有裝潢', '廁所開窗', '房間皆有窗']","4,580"
103,溫泉御品吉售可談,台北市北投區光明路,3.4年,大樓,建坪 50.77,主+陽 22.09,1房2廳2衛,8樓/24樓,"['毛胚屋', '有景觀', '有陽台']","2,798"
104,雙美館面學校美景雙美館,台北市南港區興中路,3.5年,大樓,建坪 87.5,主+陽 41.55,4房2廳2衛,9樓/22樓,"['有景觀', '前後陽台', '有陽台']","6,050"
105,大安高樓鋼骨豪邸,台北市大安區復興南路二段,1.9年,大樓,建坪 70.81,主+陽 35.3,4房2廳2衛,8樓/15樓,"['有景觀', '前後陽台', '有陽台']","7,490"
106,名人巷管理華廈,台北市大安區大安路一段,41.5年,華廈,建坪 47.45,主+陽 44.54,3房2廳2衛,2樓/7樓,"['有裝潢', '前後陽台', '有陽台']","5,200"
107,捷運三房鑽石之星,台北市信義區基隆路二段,37.8年,大樓,建坪 41.81,主+陽 27.77,3房2廳2衛,10樓/12樓,"['有裝潢', '有景觀', '前後陽台']","2,980"
108,芝山邊間陽光美寓,台北市士林區至誠路二段,42.8年,公寓,建坪 29.77,主+陽 29.77,3房2廳1衛,4樓/4樓,"['有裝潢', '有陽台', '廁所開窗']","1,688"
109,花市靜巷邊間三樓,台北市文山區萬盛街,38.6年,公寓,建坪 39.45,主+陽 39.46,3房2廳2衛,3樓/5樓,"['前後陽台', '有陽台', '房間皆有窗']","1,680"
